UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
1,78912314860,789123,298.1,308.6,1551,42.8,0,0,0
2,65432147181,654321,298.2,308.7,1408,46.3,3,0,0
3,65432147182,654321,298.1,308.5,1498,49.4,5,0,0
4,65432147183,654321,298.2,308.6,1433,39.5,7,0,0
5,65432147184,654321,298.2,308.7,1408,40,9,0,0
6,78912314865,789123,298.1,308.6,1425,41.9,11,0,0
7,65432147186,654321,298.1,308.6,1558,42.4,14,0,0
8,65432147187,654321,298.1,308.6,1527,40.2,16,0,0
9,78912314868,789123,298.3,308.7,1667,28.6,18,0,0
10,78912314869,789123,298.5,309,1741,28,21,0,0
11,12345629424,123456,298.4,308.9,1782,23.9,24,0,0
12,12345629425,123456,298.6,309.1,1423,44.3,29,0,0
13,78912314872,789123,298.6,309.1,1339,51.1,34,0,0
14,78912314873,789123,298.6,309.2,1742,30,37,0,0
15,65432147194,654321,298.6,309.2,2035,19.6,40,0,0
16,65432147195,654321,298.6,309.2,1542,48.4,42,0,0
17,78912314876,789123,298.6,309.2,1311,46.6,44,0,0
18,78912314877,789123,298.7,309.2,1410,45.6,47,0,0
19,12345629432,123456,298.8,309.2,1306,54.5,50,0,0
20,78912314879,789123,298.9,309.3,1632,32.5,55,0,0
21,12345629434,123456,298.9,309.3,1375,42.7,58,0,0
22,65432147201,654321,298.8,309.3,1450,44.8,63,0,0
23,78912314882,789123,298.9,309.3,1581,30.7,65,0,0
24,65432147203,654321,299,309.4,1758,25.7,68,0,0
25,78912314884,789123,299,309.4,1561,37.3,70,0,0
26,65432147205,654321,299,309.5,1861,23.3,73,0,0
27,65432147206,654321,299.1,309.5,1512,39,75,0,0
28,12345629441,123456,299.1,309.4,1811,24.6,77,0,0
29,65432147208,654321,299.1,309.4,1439,44.2,82,0,0
30,65432147209,654321,299,309.4,1693,30.1,84,0,0
31,78912314890,789123,299.1,309.5,1339,48.2,86,0,0
32,65432147211,654321,299,309.4,1798,25.5,89,0,0
33,65432147212,654321,299,309.4,1419,48.3,91,0,0
34,65432147213,654321,298.9,309.3,1665,32.5,93,0,0
35,78912314894,789123,298.8,309.1,1559,34.7,95,0,0
